"索引","核酸提取编号","华大编号","提取日期","样本类型","核酸类型","样本体积(ml)/质量(mg)","提取方法","浓度(ng/ul)","体积(ul)","冰箱位置","孔板号","孔位","提取总量(ng)","成功建库使用量(ng)","失败建库使用量(ng)","科研项目使用量(ng)","其他使用量(ng)","剩余量(ng)","备注","上次修改时间","创建时间"
"24","19P0156899","19P0156899","2000-01-01","P","cfDNA","4.7","美基磁珠标准法","0.98","42","无","无","无","41.16","10","0","0","0","31.16","无","2020/08/20 06:31","2020/08/20 06:22"
"25","19P0156887","19P0156887","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","0.774","45","无","无","无","34.83","0","0","0","0","34.83","无","2020/08/20 06:22","2020/08/20 06:22"
"26","19P0156880","19P0156880","2000-01-01","P","cfDNA","5.5","美基磁珠标准法","0.872","42","无","无","无","36.624","0","0","0","0","36.624","无","2020/08/20 06:22","2020/08/20 06:22"
"27","19P0156892","19P0156892","2000-01-01","P","cfDNA","8.5","美基磁珠标准法","0.802","45","无","无","无","36.09","0","0","0","0","36.09","无","2020/08/20 06:22","2020/08/20 06:22"
"28","19P0156904","19P0156904","2000-01-01","P","cfDNA","5","美基磁珠标准法","0.784","42","无","无","无","32.928","10","0","0","0","22.928","无","2020/08/20 06:31","2020/08/20 06:22"
"29","19P0156906","19P0156906","2000-01-01","P","cfDNA","6.7","美基磁珠标准法","0.63","51","无","无","无","32.13","10","0","0","0","22.13","无","2020/08/20 06:31","2020/08/20 06:22"
"30","19P0156902","19P0156902","2000-01-01","P","cfDNA","6.7","美基磁珠标准法","0.622","51","无","无","无","31.722","10","0","0","0","21.722","无","2020/08/20 06:31","2020/08/20 06:22"
"31","19P0156898","19P0156898","2000-01-01","P","cfDNA","4","美基磁珠标准法","0.718","42","无","无","无","30.156","10","0","0","0","20.156","无","2020/08/20 06:31","2020/08/20 06:22"
"32","19P0149462","19P0149462","2000-01-01","P","cfDNA","8.5","美基磁珠标准法","0.752","45","无","无","无","33.84","0","0","0","0","33.84","无","2020/08/20 06:22","2020/08/20 06:22"
"33","19P0149471","19P0149471","2000-01-01","P","cfDNA","7.8","美基磁珠标准法","0.756","45","无","无","无","34.02","0","0","0","0","34.02","无","2020/08/20 06:22","2020/08/20 06:22"
"34","19P0149475","19P0149475","2000-01-01","P","cfDNA","6.7","美基磁珠标准法","0.688","45","无","无","无","30.96","0","0","0","0","30.96","无","2020/08/20 06:22","2020/08/20 06:22"
"35","19P0149476","19P0149476","2000-01-01","P","cfDNA","3.3","美基磁珠标准法","0.72","42","无","无","无","30.24","0","0","0","0","30.24","无","2020/08/20 06:22","2020/08/20 06:22"
"36","19P0149480","19P0149480","2000-01-01","P","cfDNA","5","美基磁珠标准法","0.768","42","无","无","无","32.256","0","0","0","0","32.256","无","2020/08/20 06:22","2020/08/20 06:22"
"37","19P0149481","19P0149481","2000-01-01","P","cfDNA","7.5","美基磁珠标准法","0.71","45","无","无","无","31.95","0","0","0","0","31.95","无","2020/08/20 06:22","2020/08/20 06:22"
"38","19P0149482","19P0149482","2000-01-01","P","cfDNA","8.5","美基磁珠标准法","0.744","45","无","无","无","33.48","0","0","0","0","33.48","无","2020/08/20 06:22","2020/08/20 06:22"
"39","19P0149487","19P0149487","2000-01-01","P","cfDNA","8.5","美基磁珠标准法","0.682","45","无","无","无","30.69","0","0","0","0","30.69","无","2020/08/20 06:22","2020/08/20 06:22"
"40","19P0149488","19P0149488","2000-01-01","P","cfDNA","4.9","美基磁珠标准法","0.758","42","无","无","无","31.836","0","0","0","0","31.836","无","2020/08/20 06:22","2020/08/20 06:22"
"41","19P0149491","19P0149491","2000-01-01","P","cfDNA","10.2","美基磁珠标准法","0.676","45","无","无","无","30.42","0","0","0","0","30.42","无","2020/08/20 06:22","2020/08/20 06:22"
"42","19P0149495","19P0149495","2000-01-01","P","cfDNA","5.2","美基磁珠标准法","0.72","42","无","无","无","30.24","0","0","0","0","30.24","无","2020/08/20 06:22","2020/08/20 06:22"
"43","19P0149496","19P0149496","2000-01-01","P","cfDNA","5.2","美基磁珠标准法","0.786","42","无","无","无","33.012","10","0","0","0","23.012","无","2020/08/20 06:31","2020/08/20 06:22"
"44","19P0149503","19P0149503","2000-01-01","P","cfDNA","5.5","美基磁珠标准法","0.764","42","无","无","无","32.088","0","0","0","0","32.088","无","2020/08/20 06:22","2020/08/20 06:22"
"45","19P0149505","19P0149505","2000-01-01","P","cfDNA","5","美基磁珠标准法","0.802","42","无","无","无","33.684","10","0","0","0","23.684","无","2020/08/20 06:31","2020/08/20 06:22"
"46","19P0149468","19P0149468","2000-01-01","P","cfDNA","7","美基磁珠标准法","0.65","45","无","无","无","29.25","0","0","0","0","29.25","无","2020/08/20 06:22","2020/08/20 06:22"
"47","19P0156888","19P0156888","2000-01-01","P","cfDNA","8","美基磁珠标准法","0.646","45","无","无","无","29.07","0","0","0","0","29.07","无","2020/08/20 06:22","2020/08/20 06:22"
"48","19P0149466","19P0149466","2000-01-01","P","cfDNA","8.5","美基磁珠标准法","0.642","45","无","无","无","28.89","0","0","0","0","28.89","无","2020/08/20 06:22","2020/08/20 06:22"
"49","19P0156912","19P0156912","2000-01-01","P","cfDNA","6.5","美基磁珠标准法","0.588","49","无","无","无","28.812","10","0","0","0","18.812","无","2020/08/20 06:31","2020/08/20 06:22"
"50","19P0149477","19P0149477","2000-01-01","P","cfDNA","5.6","美基磁珠标准法","0.636","45","无","无","无","28.62","0","0","0","0","28.62","无","2020/08/20 06:22","2020/08/20 06:22"
"51","19P0156890","19P0156890","2000-01-01","P","cfDNA","7.3","美基磁珠标准法","0.618","45","无","无","无","27.81","0","0","0","0","27.81","无","2020/08/20 06:22","2020/08/20 06:22"
"52","19P0149470","19P0149470","2000-01-01","P","cfDNA","6.3","美基磁珠标准法","0.61","45","无","无","无","27.45","0","0","0","0","27.45","无","2020/08/20 06:22","2020/08/20 06:22"
"53","19P0149499","19P0149499","2000-01-01","P","cfDNA","7.6","美基磁珠标准法","0.608","45","无","无","无","27.36","0","0","0","0","27.36","无","2020/08/20 06:22","2020/08/20 06:22"
"54","19P0156900","19P0156900","2000-01-01","P","cfDNA","5","美基磁珠标准法","0.636","42","无","无","无","26.712","10","0","0","0","16.712","无","2020/08/20 06:31","2020/08/20 06:22"
"55","19P0149478","19P0149478","2000-01-01","P","cfDNA","6.7","美基磁珠标准法","0.586","45","无","无","无","26.37","0","0","0","0","26.37","无","2020/08/20 06:22","2020/08/20 06:22"
"56","19P0149474","19P0149474","2000-01-01","P","cfDNA","6","美基磁珠标准法","0.584","45","无","无","无","26.28","0","0","0","0","26.28","无","2020/08/20 06:22","2020/08/20 06:22"
"57","19P0149486","19P0149486","2000-01-01","P","cfDNA","8.5","美基磁珠标准法","0.56","45","无","无","无","25.2","0","0","0","0","25.2","无","2020/08/20 06:22","2020/08/20 06:22"
"58","19P0149497","19P0149497","2000-01-01","P","cfDNA","8.5","美基磁珠标准法","0.56","45","无","无","无","25.2","0","0","0","0","25.2","无","2020/08/20 06:22","2020/08/20 06:22"
"59","19P0156889","19P0156889","2000-01-01","P","cfDNA","6.7","美基磁珠标准法","0.556","45","无","无","无","25.02","0","0","0","0","25.02","无","2020/08/20 06:22","2020/08/20 06:22"
"60","19P0149469","19P0149469","2000-01-01","P","cfDNA","4","美基磁珠标准法","0.442","42","无","无","无","18.564","0","0","0","0","18.564","无","2020/08/20 06:22","2020/08/20 06:22"
"61","19P0149472","19P0149472","2000-01-01","P","cfDNA","6.8","美基磁珠标准法","0.308","45","无","无","无","13.86","0","0","0","0","13.86","无","2020/08/20 06:22","2020/08/20 06:22"
"62","19P0149473","19P0149473","2000-01-01","P","cfDNA","6","美基磁珠标准法","0.412","45","无","无","无","18.54","0","0","0","0","18.54","无","2020/08/20 06:22","2020/08/20 06:22"
"63","19P0149479","19P0149479","2000-01-01","P","cfDNA","8.2","美基磁珠标准法","0.532","45","无","无","无","23.94","0","0","0","0","23.94","无","2020/08/20 06:22","2020/08/20 06:22"
"64","19P0149483","19P0149483","2000-01-01","P","cfDNA","8.4","美基磁珠标准法","0.546","45","无","无","无","24.57","0","0","0","0","24.57","无","2020/08/20 06:22","2020/08/20 06:22"
"65","19P0149484","19P0149484","2000-01-01","P","cfDNA","7.7","美基磁珠标准法","0.416","45","无","无","无","18.72","0","0","0","0","18.72","无","2020/08/20 06:22","2020/08/20 06:22"
"66","19P0149490","19P0149490","2000-01-01","P","cfDNA","8.7","美基磁珠标准法","0.514","45","无","无","无","23.13","0","0","0","0","23.13","无","2020/08/20 06:22","2020/08/20 06:22"
"67","19P0149493","19P0149493","2000-01-01","P","cfDNA","8.6","美基磁珠标准法","0.464","45","无","无","无","20.88","0","0","0","0","20.88","无","2020/08/20 06:22","2020/08/20 06:22"
"68","19P0149494","19P0149494","2000-01-01","P","cfDNA","8.8","美基磁珠标准法","0.474","45","无","无","无","21.33","0","0","0","0","21.33","无","2020/08/20 06:22","2020/08/20 06:22"
"69","19P0149498","19P0149498","2000-01-01","P","cfDNA","8.6","美基磁珠标准法","0.492","45","无","无","无","22.14","0","0","0","0","22.14","无","2020/08/20 06:22","2020/08/20 06:22"
"70","19P0149500","19P0149500","2000-01-01","P","cfDNA","6.9","美基磁珠标准法","0.554","45","无","无","无","24.93","0","0","0","0","24.93","无","2020/08/20 06:22","2020/08/20 06:22"
"71","19P0156891","19P0156891","2000-01-01","P","cfDNA","7.5","美基磁珠标准法","0.478","45","无","无","无","21.51","0","0","0","0","21.51","无","2020/08/20 06:22","2020/08/20 06:22"
"72","19P0156894","19P0156894","2000-01-01","P","cfDNA","8.6","美基磁珠标准法","0.392","45","无","无","无","17.64","0","0","0","0","17.64","无","2020/08/20 06:22","2020/08/20 06:22"
"73","19P0156896","19P0156896","2000-01-01","P","cfDNA","6.6","美基磁珠标准法","0.376","42","无","无","无","15.792","10","0","0","0","5.792","无","2020/08/20 06:31","2020/08/20 06:22"
"74","19P0156907","19P0156907","2000-01-01","P","cfDNA","5","美基磁珠标准法","0.5","42","无","无","无","21","10","0","0","0","11","无","2020/08/20 06:31","2020/08/20 06:22"
"75","19P0156905","19P0156905","2000-01-01","P","cfDNA","6.1","美基磁珠标准法","0.476","51","无","无","无","24.276","10","0","0","0","14.276","无","2020/08/20 06:31","2020/08/20 06:22"
"76","19P0156911","19P0156911","2000-01-01","P","cfDNA","6.6","美基磁珠标准法","0.524","42","无","无","无","22.008","10","0","0","0","12.008","无","2020/08/20 06:31","2020/08/20 06:22"
"77","19P0156913","19P0156913","2000-01-01","P","cfDNA","6.4","美基磁珠标准法","0.39","42","无","无","无","16.38","10","0","0","0","6.38","无","2020/08/20 06:31","2020/08/20 06:22"
"78","19P0156901","19P0156901","2000-01-01","P","cfDNA","7.1","美基磁珠标准法","0.342","51","无","无","无","17.442","10","0","0","0","7.442","无","2020/08/20 06:31","2020/08/20 06:22"
"79","19P0156910","19P0156910","2000-01-01","P","cfDNA","6.6","美基磁珠标准法","0.394","51","无","无","无","20.094","10","0","0","0","10.094","无","2020/08/20 06:31","2020/08/20 06:22"
"80","19P0156908","19P0156908","2000-01-01","P","cfDNA","6.6","美基磁珠标准法","0.384","42","无","无","无","16.128","10","0","0","0","6.128","无","2020/08/20 06:31","2020/08/20 06:22"
"81","19P0156914","19P0156914","2000-01-01","P","cfDNA","6.6","美基磁珠标准法","0.46","42","无","无","无","19.32","10","0","0","0","9.32","无","2020/08/20 06:31","2020/08/20 06:22"
"82","19P0156903","19P0156903","2000-01-01","P","cfDNA","6.6","美基磁珠标准法","0.406","42","无","无","无","17.052","10","0","0","0","7.052","无","2020/08/20 06:31","2020/08/20 06:22"
"83","19P0156897","19P0156897","2000-01-01","P","cfDNA","6.1","美基磁珠标准法","0.516","42","无","无","无","21.672","10","0","0","0","11.672","无","2020/08/20 06:31","2020/08/20 06:22"
"84","19P0156909","19P0156909","2000-01-01","P","cfDNA","5.9","美基磁珠标准法","0.43","49","无","无","无","21.07","10","0","0","0","11.07","无","2020/08/20 06:31","2020/08/20 06:22"
"85","19P0165061","19P0165061","2000-01-01","P","cfDNA","6.6","美基磁珠标准法","0.554","40","无","无","无","22.16","10","0","0","0","12.16","无","2020/08/20 06:31","2020/08/20 06:22"
"86","19P0165062","19P0165062","2000-01-01","P","cfDNA","6.2","美基磁珠标准法","0.428","43","无","无","无","18.404","0","0","0","0","18.404","无","2020/08/20 06:22","2020/08/20 06:22"
"87","19P0165063","19P0165063","2000-01-01","P","cfDNA","5.1","美基磁珠标准法","0.3","50","无","无","无","15","0","0","0","0","15","无","2020/08/20 06:22","2020/08/20 06:22"
"88","19P0165064","19P0165064","2000-01-01","P","cfDNA","6.6","美基磁珠标准法","0.366","43","无","无","无","15.738","0","0","0","0","15.738","无","2020/08/20 06:22","2020/08/20 06:22"
"89","19P0165065","19P0165065","2000-01-01","P","cfDNA","6.6","美基磁珠标准法","1.24","10","无","无","无","12.4","10","0","0","0","2.4","无","2020/08/20 06:31","2020/08/20 06:22"
"90","19P0165066","19P0165066","2000-01-01","P","cfDNA","6.6","美基磁珠标准法","0.33","43","无","无","无","14.19","0","0","0","0","14.19","无","2020/08/20 06:22","2020/08/20 06:22"
"91","19P0165067","19P0165067","2000-01-01","P","cfDNA","8.3","美基磁珠标准法","0.612","43","无","无","无","26.316","10","0","0","0","16.316","无","2020/08/20 06:31","2020/08/20 06:22"
"92","19P0165068","19P0165068","2000-01-01","P","cfDNA","6.6","美基磁珠标准法","0.448","43","无","无","无","19.264","10","0","0","0","9.264","无","2020/08/20 06:31","2020/08/20 06:22"
"93","19P0165069","19P0165069","2000-01-01","P","cfDNA","6.6","美基磁珠标准法","1.13","43","无","无","无","48.59","10","0","0","0","38.59","无","2020/08/20 06:31","2020/08/20 06:22"
"94","19P0165070","19P0165070","2000-01-01","P","cfDNA","6.4","美基磁珠标准法","0.542","43","无","无","无","23.306","10","0","0","0","13.306","无","2020/08/20 06:31","2020/08/20 06:22"
"95","19P0165071","19P0165071","2000-01-01","P","cfDNA","6.4","美基磁珠标准法","0.708","43","无","无","无","30.444","10","0","0","0","20.444","无","2020/08/20 06:31","2020/08/20 06:22"
"96","19P0165072","19P0165072","2000-01-01","P","cfDNA","6.6","美基磁珠标准法","0.408","43","无","无","无","17.544","0","0","0","0","17.544","无","2020/08/20 06:22","2020/08/20 06:22"
"97","19P0165073","19P0165073","2000-01-01","P","cfDNA","6.8","美基磁珠标准法","1.3","50","无","无","无","65","10","0","0","0","55","无","2020/08/20 06:31","2020/08/20 06:22"
"98","19P0165074","19P0165074","2000-01-01","P","cfDNA","6","美基磁珠标准法","0.452","43","无","无","无","19.436","10","0","0","0","9.436","无","2020/08/20 06:31","2020/08/20 06:22"
"99","19P0165075","19P0165075","2000-01-01","P","cfDNA","4.6","美基磁珠标准法","0.482","50","无","无","无","24.1","10","0","0","0","14.1","无","2020/08/20 06:31","2020/08/20 06:22"
"100","19P0165076","19P0165076","2000-01-01","P","cfDNA","8","美基磁珠标准法","0.648","43","无","无","无","27.864","10","0","0","0","17.864","无","2020/08/20 06:31","2020/08/20 06:22"
"101","19P0165077","19P0165077","2000-01-01","P","cfDNA","8.5","美基磁珠标准法","0.852","42","无","无","无","35.784","10","0","0","0","25.784","无","2020/08/20 06:31","2020/08/20 06:22"
"102","19P0165078","19P0165078","2000-01-01","P","cfDNA","5","美基磁珠标准法","0.448","42","无","无","无","18.816","0","0","0","0","18.816","无","2020/08/20 06:22","2020/08/20 06:22"
"103","19P0165079","19P0165079","2000-01-01","P","cfDNA","10","美基磁珠标准法","1.89","42","无","无","无","79.38","10","0","0","0","69.38","无","2020/08/20 06:31","2020/08/20 06:22"
"104","19P0165080","19P0165080","2000-01-01","P","cfDNA","8","美基磁珠标准法","1.31","42","无","无","无","55.02","10","0","0","0","45.02","无","2020/08/20 06:31","2020/08/20 06:22"
"105","19P0165081","19P0165081","2000-01-01","P","cfDNA","9","美基磁珠标准法","1.08","42","无","无","无","45.36","10","0","0","0","35.36","无","2020/08/20 06:31","2020/08/20 06:22"
"106","19P0165082","19P0165082","2000-01-01","P","cfDNA","6.5","美基磁珠标准法","1.18","42","无","无","无","49.56","10","0","0","0","39.56","无","2020/08/20 06:31","2020/08/20 06:22"
"107","19P0165083","19P0165083","2000-01-01","P","cfDNA","9.5","美基磁珠标准法","1.18","42","无","无","无","49.56","10","0","0","0","39.56","无","2020/08/20 06:31","2020/08/20 06:22"
"108","19P0165084","19P0165084","2000-01-01","P","cfDNA","9.2","美基磁珠标准法","1.17","42","无","无","无","49.14","10","0","0","0","39.14","无","2020/08/20 06:31","2020/08/20 06:22"
"109","19P0165085","19P0165085","2000-01-01","P","cfDNA","9.2","美基磁珠标准法","2.36","42","无","无","无","99.12","10","0","0","0","89.12","无","2020/08/20 06:31","2020/08/20 06:22"
"110","19P0165086","19P0165086","2000-01-01","P","cfDNA","9.5","美基磁珠标准法","0.998","42","无","无","无","41.916","10","0","0","0","31.916","无","2020/08/20 06:31","2020/08/20 06:22"
"111","19P0165087","19P0165087","2000-01-01","P","cfDNA","7.3","美基磁珠标准法","0.672","42","无","无","无","28.224","10","0","0","0","18.224","无","2020/08/20 06:31","2020/08/20 06:22"
"112","19P0165088","19P0165088","2000-01-01","P","cfDNA","9.1","美基磁珠标准法","0.74","42","无","无","无","31.08","10","0","0","0","21.08","无","2020/08/20 06:31","2020/08/20 06:22"
"113","19P0165089","19P0165089","2000-01-01","P","cfDNA","9.5","美基磁珠标准法","0.38","42","无","无","无","15.96","0","0","0","0","15.96","无","2020/08/20 06:22","2020/08/20 06:22"
"114","19P0165090","19P0165090","2000-01-01","P","cfDNA","9.8","美基磁珠标准法","2.04","42","无","无","无","85.68","10","0","0","0","75.68","无","2020/08/20 06:31","2020/08/20 06:22"
"115","19P0165091","19P0165091","2000-01-01","P","cfDNA","8.8","美基磁珠标准法","1.11","42","无","无","无","46.62","10","0","0","0","36.62","无","2020/08/20 06:31","2020/08/20 06:22"
"116","19P0165092","19P0165092","2000-01-01","P","cfDNA","7.5","美基磁珠标准法","1.96","42","无","无","无","82.32","10","0","0","0","72.32","无","2020/08/20 06:31","2020/08/20 06:22"
"117","19P0165093","19P0165093","2000-01-01","P","cfDNA","8","美基磁珠标准法","1.13","42","无","无","无","47.46","10","0","0","0","37.46","无","2020/08/20 06:31","2020/08/20 06:22"
"118","19P0165094","19P0165094","2000-01-01","P","cfDNA","7.5","美基磁珠标准法","0.788","42","无","无","无","33.096","10","0","0","0","23.096","无","2020/08/20 06:31","2020/08/20 06:22"
"119","19P4178121","19P4178121","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","1.01","40","无","无","无","40.4","0","0","0","0","40.4","无","2020/08/20 06:22","2020/08/20 06:22"
"120","19P4178122","19P4178122","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","0.74","40","无","无","无","29.6","0","0","0","0","29.6","无","2020/08/20 06:22","2020/08/20 06:22"
"121","19P4178123","19P4178123","2000-01-01","P","cfDNA","7.5","美基磁珠标准法","1.49","40","无","无","无","59.6","0","0","0","0","59.6","无","2020/08/20 06:22","2020/08/20 06:22"
"122","19P4178124","19P4178124","2000-01-01","P","cfDNA","6.8","美基磁珠标准法","0.552","40","无","无","无","22.08","0","0","0","0","22.08","无","2020/08/20 06:22","2020/08/20 06:22"
"123","19P4178125","19P4178125","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","1.6","40","无","无","无","64","0","0","0","0","64","无","2020/08/20 06:22","2020/08/20 06:22"
"124","19P4178126","19P4178126","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","0.904","40","无","无","无","36.16","0","0","0","0","36.16","无","2020/08/20 06:22","2020/08/20 06:22"
"125","19P4178127","19P4178127","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","0.382","40","无","无","无","15.28","0","0","0","0","15.28","无","2020/08/20 06:22","2020/08/20 06:22"
"126","19P4178128","19P4178128","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","1.31","40","无","无","无","52.4","0","0","0","0","52.4","无","2020/08/20 06:22","2020/08/20 06:22"
"127","20P7590730","20P7590730","2000-01-01","P","cfDNA","2","南科手工提取20200619","0.326","28","无","无","无","9.128","0","0","0","0","9.128","无","2020/08/20 06:25","2020/08/20 06:25"
"128","20P7590731","20P7590731","2000-01-01","P","cfDNA","2","南科手工提取20200619","0.36","28","无","无","无","10.08","0","0","0","0","10.08","无","2020/08/20 06:25","2020/08/20 06:25"
"129","20P7590732","20P7590732","2000-01-01","P","cfDNA","2","南科手工提取20200619","9999","28","无","无","无","279972","0","0","0","0","279972","无","2020/08/20 06:25","2020/08/20 06:25"
"130","20P7590733","20P7590733","2000-01-01","P","cfDNA","2","南科手工提取20200619","0.546","28","无","无","无","15.288","0","0","0","0","15.288","无","2020/08/20 06:25","2020/08/20 06:25"
"131","20P7590734","20P7590734","2000-01-01","P","cfDNA","2","南科手工提取20200619","9999","28","无","无","无","279972","0","0","0","0","279972","无","2020/08/20 06:25","2020/08/20 06:25"
"132","20P7590735","20P7590735","2000-01-01","P","cfDNA","2","南科手工提取20200619","0.25","28","无","无","无","7","0","0","0","0","7","无","2020/08/20 06:25","2020/08/20 06:25"
"133","20P7590736","20P7590736","2000-01-01","P","cfDNA","2","南科手工提取20200619","9999","28","无","无","无","279972","0","0","0","0","279972","无","2020/08/20 06:25","2020/08/20 06:25"
"134","20P7590737","20P7590737","2000-01-01","P","cfDNA","2","南科手工提取20200619","0.19","28","无","无","无","5.32","0","0","0","0","5.32","无","2020/08/20 06:25","2020/08/20 06:25"
"135","20P7590738","20P7590738","2000-01-01","P","cfDNA","2","南科手工提取20200619","9999","28","无","无","无","279972","0","0","0","0","279972","无","2020/08/20 06:25","2020/08/20 06:25"
"136","20P7590739","20P7590739","2000-01-01","P","cfDNA","2","南科手工提取20200619","0.212","28","无","无","无","5.936","0","0","0","0","5.936","无","2020/08/20 06:25","2020/08/20 06:25"
"137","20P7590740","20P7590740","2000-01-01","P","cfDNA","1.5","南科手工提取20200619","0.312","28","无","无","无","8.736","0","0","0","0","8.736","无","2020/08/20 06:25","2020/08/20 06:25"
"138","20P7590741","20P7590741","2000-01-01","P","cfDNA","2","南科手工提取20200619","9999","28","无","无","无","279972","0","0","0","0","279972","无","2020/08/20 06:25","2020/08/20 06:25"
"139","20P7590742","20P7590742","2000-01-01","P","cfDNA","2","南科手工提取20200619","0.124","28","无","无","无","3.472","0","0","0","0","3.472","无","2020/08/20 06:25","2020/08/20 06:25"
"140","20P7590743","20P7590743","2000-01-01","P","cfDNA","1.5","南科手工提取20200619","0.39","28","无","无","无","10.92","0","0","0","0","10.92","无","2020/08/20 06:25","2020/08/20 06:25"
"141","20P7590744","20P7590744","2000-01-01","P","cfDNA","2","南科手工提取20200619","0.358","28","无","无","无","10.024","0","0","0","0","10.024","无","2020/08/20 06:25","2020/08/20 06:25"
